"","x"
"1","LHFPL3"
"2","AGBL1"
"3","LHFPL3-AS2"
"4","WIF1"
"5","RMST"
"6","LRRC36"
"7","SCN1A"
"8","C3orf79"
"9","MEGF11"
"10","PLA2G4F"
"11","ZNF385B"
"12","FREM2"
"13","PGC"
"14","LRP2"
"15","CCDC141"
"16","ABCA3"
"17","RASGRF1"
"18","STEAP4"
"19","LANCL1-AS1"
"20","PCSK2"
"21","NIM1K"
"22","CRTAC1"
"23","DMBT1"
"24","SLC5A8"
"25","ALPL"
"26","HHIP"
"27","ACOXL"
"28","CACNA2D2"
"29","HUNK"
"30","RAP1GAP"
"31","PTGFR"
"32","P3H2"
"33","ERBB4"
"34","LRP2BP"
"35","NECAB1"
"36","BMP1"
"37","ROS1"
"38","MUCL3"
"39","MFSD2A"
"40","SPRY4-AS1"
"41","LRRK2"
"42","LAMP3"
"43","SLC7A2"
"44","SLC26A9"
"45","PPP4R4"
"46","SLC46A2"
"47","TMEM163"
"48","IL20RA"
"49","ETV5"
"50","FGF1"
"51","ARFGEF3"
"52","ALOX15B"
"53","PARM1"
"54","ACADL"
"55","CDKL2"
"56","SDR16C5"
"57","PTCHD1-AS"
"58","KCNJ15"
"59","SGMS2"
"60","SCTR"
"61","SPRY4"
"62","SGPP2"
"63","SLC22A31"
"64","TTN"
"65","HPN"
"66","PEBP4"
"67","FHDC1"
"68","SCN1A-AS1"
"69","SNX25"
"70","CNTN1"
"71","CACNB4"
"72","SFTPB"
"73","SLC22A3"
"74","SELENBP1"
"75","PRTG"
"76","FAM184A"
"77","C8orf34-AS1"
"78","VEPH1"
"79","ESYT3"
"80","NTN4"
"81","SFTA3"
"82","PDE4C"
"83","RASEF"
"84","C4orf19"
"85","PTPN13"
"86","ADGRV1"
"87","DLGAP1"
"88","SLC35F3"
"89","SFTPD"
"90","SLC6A14"
"91","C4BPA"
"92","CEP70"
"93","SFTPC"
"94","GAREM1"
"95","FASN"
"96","GALNTL6"
"97","KCNK1"
"98","ARHGEF38"
"99","SLCO4C1"
"100","ANK3"
"101","TFCP2L1"
"102","PDE4D"
"103","IQCN"
"104","PLCH1"
"105","NKX2-1"
"106","CTSH"
"107","PCDH9"
"108","KIAA1324L"
"109","DUOXA1"
"110","FMO5"
"111","C8orf34"
"112","MBIP"
"113","DUSP6"
"114","NAPSA"
"115","AGR3"
"116","AFF3"
"117","TCIM"
"118","CXCL2"
"119","SLC4A4"
"120","SOCS2"
"121","CFTR"
"122","MACROD2"
"123","ABCC9"
"124","FGFR2"
"125","RHOBTB2"
"126","MLPH"
"127","PFKFB2"
"128","TACC2"
"129","TMPRSS2"
"130","DLG2"
"131","CAPN8"
"132","SYBU"
"133","ETV1"
"134","ZNF682"
"135","KANK1"
"136","PIP5K1B"
"137","PPP1R9A"
"138","DUOX1"
"139","CSF3R"
"140","MTUS1"
"141","SNX30"
"142","PPP1R14C"
"143","ADGRF5"
"144","UNC13B"
"145","NR1H2"
"146","PCLO"
"147","LONRF2"
"148","MET"
"149","ACSS3"
"150","RCAN2"
"151","MECOM"
"152","GPR160"
"153","LDHB"
"154","CAPN12"
"155","GPC4"
"156","SIAE"
"157","B4GALNT3"
"158","ATP2C2"
"159","LDLR"
"160","SHC3"
"161","SLC34A2"
"162","ZNRF3"
"163","TCF7L1"
"164","MAL2-AS1"
"165","TMEM164"
"166","CECR2"
"167","TTC6"
"168","MTRR"
"169","USP13"
"170","ITGB6"
"171","SEMA4A"
"172","LNX2"
"173","PCAT1"
"174","HOPX"
"175","STXBP1"
"176","MAP7"
"177","CASC19"
"178","KCNQ3"
"179","SORCS2"
"180","MAST4"
"181","AUTS2"
"182","TRIB1"
"183","LMO3"
"184","CHRM3"
"185","HMGCS1"
"186","CDON"
"187","SERPINA1"
"188","F3"
"189","LONRF3"
"190","CACHD1"
"191","AREG"
"192","FAM160A1"
"193","ACTR3C"
"194","SHROOM3"
"195","MICAL2"
"196","TMEM243"
"197","MCCC1"
"198","FOXP2"
"199","PID1"
"200","ZDHHC9"
"201","MUC1"
"202","MAPK10"
"203","SECISBP2L"
"204","TOX"
"205","TANC2"
"206","CAPN3"
"207","GSTA4"
"208","APTR"
"209","PTPRK"
"210","CCNJL"
"211","DNAH14"
"212","ABCC6"
"213","TMEM64"
"214","EPS8"
"215","SOX5"
"216","TMC5"
"217","FAM149A"
"218","PTPN3"
"219","CRNDE"
"220","MSMO1"
"221","ADAMTSL4-AS1"
"222","ADGRD1"
"223","GPC5"
"224","CYB5A"
"225","SORBS2"
"226","MPP7"
"227","ESRP1"
"228","ACACA"
"229","DRAM1"
"230","RAPGEF5"
"231","CDS1"
"232","GANC"
"233","CACNA2D3"
"234","EFNA5"
"235","IFT57"
"236","TSPAN3"
"237","WWC1"
"238","SLC22A23"
"239","ATP1A1-AS1"
"240","MGST1"
"241","PTPRD"
"242","CA3"
"243","FOSB"
"244","MYO6"
"245","KIAA1958"
"246","MAP3K13"
"247","MTHFS"
"248","GRAMD2A"
"249","ATP11A"
"250","ANKS1B"
"251","SLC9C1"
"252","ATP13A4"
"253","RBPMS"
"254","BZW2"
"255","ACSS2"
"256","SPIRE1"
"257","ITPKC"
"258","TBC1D4"
"259","PARD6B"
"260","PLCG1-AS1"
"261","ARHGAP8"
"262","ATP1A1"
"263","DANT2"
"264","CELF2-AS2"
"265","MAL2"
"266","PRDM16"
"267","SYNE1"
"268","FAM20A"
"269","BAIAP2L1"
"270","ELF3"
"271","PHACTR1"
"272","LPCAT1"
"273","PPP3CB-AS1"
"274","ZSWIM5"
"275","USP54"
"276","ST7-AS2"
"277","ABCC4"
"278","MREG"
"279","SFTPA1"
"280","CPAMD8"
"281","SCNN1A"
"282","ICAM1"
"283","ASL"
"284","NEDD4L"
"285","CHP1"
"286","EXPH5"
"287","BTBD9"
"288","LIPH"
"289","BCL2L14"
"290","MALRD1"
"291","SPATA6L"
"292","TIPARP"
"293","EHF"
"294","BTD"
"295","NPNT"
"296","DLC1"
"297","PLEKHG2"
"298","PTPRG"
"299","CAMK1D"
"300","FRK"
"301","SHROOM4"
"302","SFTA1P"
"303","SHANK2"
"304","SDC4"
"305","AKAP1"
"306","KLF5"
"307","GRHL2"
"308","C1orf21"
"309","CADM1"
"310","PLEKHA7"
"311","COBLL1"
"312","ATP1B1"
"313","NR6A1"
"314","SERPINB1"
"315","RMC1"
"316","NR3C2"
"317","C3orf52"
"318","SMC5-AS1"
"319","ANKRD28"
"320","CXADR"
"321","DCBLD2"
"322","STOX2"
"323","MYO5C"
"324","MAGI3"
"325","MTHFD2L"
"326","SOBP"
"327","NRXN3"
"328","SH3RF1"
"329","UST"
"330","MAOA"
"331","OSMR"
"332","DESI2"
"333","SFRP4"
"334","PDZD2"
"335","EGR1"
"336","PACSIN2"
"337","RGL3"
"338","TAPT1"
"339","ITPR3"
"340","PITPNM2"
"341","PPP2R3A"
"342","AHCYL2"
"343","MEGF6"
"344","AASS"
"345","PPP1R13B"
"346","CADPS2"
"347","RUFY3"
"348","FRMD4B"
"349","SFTPA2"
"350","ARMC9"
"351","SAMD5"
"352","CDKL5"
"353","FILIP1"
"354","MYO1B"
"355","CATSPERB"
"356","ACSL4"
"357","SLC44A3"
"358","SEMA4B"
"359","WWC3"
"360","TMEM245"
"361","TMEM87A"
"362","RMDN2"
"363","NPC1"
"364","CNTN4"
"365","ST3GAL6"
"366","PRKCZ"
"367","CGNL1"
"368","NR4A1"
"369","ARHGAP44"
"370","JDP2"
"371","ST7"
"372","LANCL1"
"373","CASZ1"
"374","SCN9A"
"375","GPHN"
"376","LURAP1L-AS1"
"377","TMEM116"
"378","SLC39A8"
"379","DSTN"
"380","LARGE1"
"381","RPH3AL"
"382","CMTM8"
"383","EPDR1"
"384","COL4A5"
"385","CDH1"
"386","THRB"
"387","OPHN1"
"388","CTNNAL1"
"389","FDPS"
"390","DHCR24"
"391","OCLN"
"392","FAM118B"
"393","LRP6"
"394","NFKBIA"
"395","FAM174B"
"396","C9orf147"
"397","HMGCR"
"398","NIBAN2"
"399","ATP8A1"
"400","CNKSR3"
"401","TCOF1"
"402","NCOA7"
"403","RNF180"
"404","NLGN1"
"405","ARHGAP32"
"406","PRKD1"
"407","DNM3"
"408","IDI1"
"409","GUCY1A1"
"410","LRRC23"
"411","RAB3IP"
"412","PSMG4"
"413","CCNYL1"
"414","MCU"
"415","WSB1"
"416","EZR"
"417","RANBP17"
"418","SPTLC3"
"419","MPZL3"
"420","GPRC5D-AS1"
"421","DIAPH2-AS1"
"422","RAI14"
"423","FAM135A"
"424","NINL"
"425","SPRED2"
"426","KIDINS220"
"427","MIR181A2HG"
"428","TMEM41B"
"429","TNC"
"430","MEGF9"
"431","KLHL29"
"432","NUP58"
"433","YAP1"
"434","RAB27A"
"435","CCSER1"
"436","AKAP13"
"437","UBTD1"
"438","HOOK2"
"439","CEP112"
"440","ADK"
"441","DPP4"
"442","AATK"
"443","TOP1"
"444","ARRDC3"
"445","CD38"
"446","MYEF2"
"447","NBEAL1"
"448","PRDM5"
"449","ST3GAL5"
"450","GSPT1"
"451","ASPH"
"452","PATJ"
"453","LMNA"
"454","ENOSF1"
"455","PARD3"
"456","ZNF117"
"457","PRKCI"
"458","NNMT"
"459","SCGB2B2"
"460","LRIG1"
"461","CPM"
"462","TFPI"
"463","LURAP1L"
"464","TOM1L1"
"465","PUS10"
"466","GPRC5A"
"467","FAAH2"
"468","RFX2"
"469","RAB40C"
"470","GALNT3"
"471","AKAP7"
"472","LIMCH1"
"473","MAGI1-AS1"
"474","SOX6"
"475","DAPK2"
"476","GPR39"
"477","NHSL1"
"478","MIR222HG"
"479","SPAG1"
"480","SPAG9"
"481","KAZN"
"482","CTNNBIP1"
"483","SLC20A2"
"484","KANSL1L"
"485","NEBL"
"486","EPHA4"
"487","ABCD3"
"488","CRPPA"
"489","GLIS3"
"490","AMOTL1"
"491","MIPOL1"
"492","RNF145"
"493","TNIK"
"494","RFTN1"
"495","CHKA"
"496","ATL2"
"497","SH3YL1"
"498","PGM1"
"499","SCAI"
"500","COBL"
"501","DCC"
"502","MAGI1"
"503","L3MBTL4"
"504","FAM155A"
"505","FOS"
"506","ST5"
"507","SLC12A2"
"508","FDFT1"
"509","RPS6KA2"
"510","PON2"
"511","DOCK9"
"512","CLCN5"
"513","DNAH5"
"514","TMEM63B"
"515","COL8A1"
"516","ERRFI1"
"517","TC2N"
"518","ANKRD6"
"519","BAIAP2"
"520","CD46"
"521","MYH14"
"522","INTS12"
"523","MYO9A"
"524","HSDL2"
"525","SMARCA1"
"526","FAM13A"
"527","DPY19L1"
"528","TRIM2"
"529","NAALADL2"
"530","IFT80"
"531","ZDHHC3"
"532","WWTR1"
"533","C3"
"534","TRMT11"
"535","AMMECR1"
"536","CRY1"
"537","FBXW11"
"538","EPB41L1"
"539","NDFIP2"
"540","PLPP3"
"541","CD36"
"542","SGCE"
"543","GLS"
"544","TTN-AS1"
"545","SHB"
"546","GSAP"
"547","MAP3K20"
"548","EGFR"
"549","ARHGAP12"
"550","GCNT2"
"551","PTPN4"
"552","PPP4R1"
"553","C11orf49"
"554","FGGY"
"555","PLXNA2"
"556","TNFRSF10B"
"557","DOCK5"
"558","ARMCX4"
"559","SNTB1"
"560","ABHD2"
"561","SAP30L-AS1"
"562","THSD4"
"563","LMO7"
"564","DIAPH2"
"565","WLS"
"566","HSD17B4"
"567","RIMKLB"
"568","FNIP2"
"569","EPB41L5"
"570","SLC2A13"
"571","CMTM4"
"572","ZNF462"
"573","FNBP1L"
"574","ITGA3"
"575","BTG3"
"576","LSS"
"577","EPN2"
"578","AGAP1"
"579","REV1"
"580","PPA1"
"581","CD55"
"582","NFKBIZ"
"583","ICA1"
"584","SMYD3"
"585","PTPRM"
"586","RRAS2"
"587","ZDHHC21"
"588","PIBF1"
"589","NOS1AP"
"590","VKORC1L1"
"591","DDAH1"
"592","LIFR"
"593","SLC1A1"
"594","PEX13"
"595","MARC2"
