"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"CTSB",0,4.70881255540527,0.7,0.044,0,"Macrophages","CTSB",3.29616878878369
"SLC8A1",0,3.25452661625923,0.687,0.082,0,"Macrophages","SLC8A1",2.23585978537009
"MRC1",0,5.31664054521375,0.63,0.025,0,"Macrophages","MRC1",3.34948354348466
"KCNMA1",0,5.05198998218064,0.606,0.028,0,"Macrophages","KCNMA1",3.06150592920147
"PLXDC2",0,1.89173967013379,0.843,0.279,0,"Macrophages","PLXDC2",1.59473654192279
"DMXL2",0,3.35391322908872,0.653,0.1,0,"Macrophages","DMXL2",2.19010533859494
"SLC11A1",0,4.25569594546072,0.577,0.03,0,"Macrophages","SLC11A1",2.45553656053084
"CD163",0,4.76000338756505,0.563,0.021,0,"Macrophages","CD163",2.67988190719913
"ZEB2",0,2.16443271271368,0.763,0.222,0,"Macrophages","ZEB2",1.65146215980054
"PSAP",0,4.07784415499145,0.599,0.059,0,"Macrophages","PSAP",2.44262864883988
"SLCO2B1",0,4.82049534519585,0.552,0.023,0,"Macrophages","SLCO2B1",2.66091343054811
"MSR1",0,5.17787734891522,0.532,0.018,0,"Macrophages","MSR1",2.7546307496229
"TBXAS1",0,2.79837728308796,0.586,0.075,0,"Macrophages","TBXAS1",1.63984908788955
"ACSL1",0,3.13491968440353,0.591,0.083,0,"Macrophages","ACSL1",1.85273753348248
"RBM47",0,2.44858465100122,0.721,0.216,0,"Macrophages","RBM47",1.76542953337188
"GLUL",0,3.15643941852193,0.574,0.073,0,"Macrophages","GLUL",1.81179622623159
"KYNU",0,3.34024927407236,0.547,0.047,0,"Macrophages","KYNU",1.82711635291758
"TFRC",0,4.7661514027567,0.518,0.034,0,"Macrophages","TFRC",2.46886642662797
"FMNL2",0,2.56353238553446,0.765,0.285,0,"Macrophages","FMNL2",1.96110227493386
"FMN1",0,2.97234983750854,0.631,0.158,0,"Macrophages","FMN1",1.87555274746789
"LRMDA",0,1.784129061318,0.873,0.403,0,"Macrophages","LRMDA",1.55754467053062
"CTSD",0,5.5869790474534,0.49,0.023,0,"Macrophages","CTSD",2.73761973325216
"SAT1",0,2.08819615960264,0.7,0.239,0,"Macrophages","SAT1",1.46173731172185
"FRMD4A",0,3.45351347829811,0.52,0.072,0,"Macrophages","FRMD4A",1.79582700871502
"CCDC88A",0,2.53271142067917,0.562,0.12,0,"Macrophages","CCDC88A",1.42338381842169
"SLC16A10",0,4.60915800677368,0.47,0.033,0,"Macrophages","SLC16A10",2.16630426318363
"RAB31",0,2.27772485789466,0.604,0.178,0,"Macrophages","RAB31",1.37574581416838
"FTL",0,3.7563148621128,0.488,0.063,0,"Macrophages","FTL",1.83308165271105
"ARHGAP18",0,2.45480267710416,0.527,0.105,0,"Macrophages","ARHGAP18",1.29368101083389
"H2AFY",0,3.51260884754686,0.476,0.054,0,"Macrophages","H2AFY",1.67200181143231
"RBPJ",0,3.18273925295839,0.614,0.197,0,"Macrophages","RBPJ",1.95420190131645
"PDE4B",0,2.69996107988867,0.518,0.103,0,"Macrophages","PDE4B",1.39857983938233
"SLC1A3",0,5.0012539374258,0.433,0.019,0,"Macrophages","SLC1A3",2.16554295490537
"DOCK2",0,1.34684027976237,0.582,0.168,0,"Macrophages","DOCK2",0.783861042821698
"DOCK8",0,1.61784484430411,0.601,0.196,0,"Macrophages","DOCK8",0.972324751426771
"ABR",0,2.18741319809076,0.572,0.167,0,"Macrophages","ABR",1.25120034930791
"PIK3R5",0,2.12993864799857,0.496,0.092,0,"Macrophages","PIK3R5",1.05644956940729
"FTH1",0,3.14052430407274,0.453,0.051,0,"Macrophages","FTH1",1.42265750974495
"ARHGAP26",0,1.25352052433383,0.644,0.243,0,"Macrophages","ARHGAP26",0.807267217670987
"CHST11",0,1.23440065825195,0.727,0.329,0,"Macrophages","CHST11",0.897409278549167
"RNF149",0,1.89603429207953,0.614,0.217,0,"Macrophages","RNF149",1.16416505533683
"RAPGEF1",0,1.55465123631702,0.614,0.217,0,"Macrophages","RAPGEF1",0.954555859098652
"CD74",0,3.75704873497263,0.433,0.041,0,"Macrophages","CD74",1.62680210224315
"ALOX5",0,3.42730820393535,0.422,0.033,0,"Macrophages","ALOX5",1.44632406206072
"CTSS",0,3.70686605376062,0.422,0.034,0,"Macrophages","CTSS",1.56429747468698
