 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G;positiv;;;
974;04-DAPI-1-40x-402ms.tif;NBL;0.0378;0.0378;27.3764;0.0259;1.0337;0.001;0;;;
718;03-DAPI-1-40x-402ms.tif;NBL;0.0234;0.0234;20.6296;0.037;0.4835;0.0009;0;;;
1938;09-DAPI-1-40x-402ms.tif;NBL;0.0244;0.0244;46.4222;0.0533;1.1334;0.0013;0;;;
907;04-DAPI-1-40x-402ms.tif;NBL;0.0844;0.0844;23.1774;0.0913;1.9566;0.0077;0;;;
719;03-DAPI-1-40x-402ms.tif;NBL;0.0391;0.0391;19.7694;0.1;0.7722;0.0039;0;;;
896;04-DAPI-1-40x-402ms.tif;NBL;0.0652;0.0652;29.8869;0.1165;1.949;0.0076;0;;;
1831;09-DAPI-1-40x-402ms.tif;NBL;0.0343;0.0343;50.6804;0.1582;1.7377;0.0054;0;;;
1832;09-DAPI-1-40x-402ms.tif;NBL;0.0642;0.0642;62.7044;0.1807;4.0279;0.0116;0;;;
898;04-DAPI-1-40x-402ms.tif;NBL;0.0571;0.0571;25.9601;0.1825;1.4817;0.0104;0;;;
1833;09-DAPI-1-40x-402ms.tif;NBL;0.0623;0.0623;57.6568;0.1829;3.591;0.0114;0;;;
894;04-DAPI-1-40x-402ms.tif;NBL;0.0775;0.0775;24.9426;0.1835;1.9324;0.0142;0;;;
720;03-DAPI-1-40x-402ms.tif;NBL;0.0401;0.0401;17.0081;0.1892;0.6828;0.0076;0;;;
897;04-DAPI-1-40x-402ms.tif;NBL;0.0558;0.0558;30.2626;0.1907;1.6878;0.0106;0;;;
1937;09-DAPI-1-40x-402ms.tif;NBL;0.0492;0.0492;39.2759;0.1921;1.9306;0.0094;0;;;
908;04-DAPI-1-40x-402ms.tif;NBL;0.0911;0.0911;26.5988;0.2012;2.4244;0.0183;0;;;
895;04-DAPI-1-40x-402ms.tif;NBL;0.0803;0.0803;27.5959;0.2081;2.2158;0.0167;0;;;
890;04-DAPI-1-40x-402ms.tif;NBL;0.0948;0.0948;26.9954;0.2105;2.5601;0.02;0;;;
1847;09-DAPI-1-40x-402ms.tif;NBL;0.0344;0.0344;53.7035;0.2208;1.8472;0.0076;0;;;
1921;09-DAPI-1-40x-402ms.tif;NBL;0.0357;0.0357;51.8116;0.2371;1.8496;0.0085;0;;;
1849;09-DAPI-1-40x-402ms.tif;NBL;0.0385;0.0385;56.0958;0.2423;2.1608;0.0093;0;;;
657;03-DAPI-1-40x-402ms.tif;NBL;0.034;0.034;36.9968;0.2428;1.2565;0.0082;0;;;
2442;16-DAPI-1-40x-402ms.tif;NBL;0.0609;0.0609;45.8289;0.2478;2.7897;0.0151;0;;;
1205;06-DAPI-1-40x-402ms.tif;NBL;0.0476;0.0476;18.3485;0.2551;0.874;0.0122;0;;;
650;03-DAPI-1-40x-402ms.tif;NBL;0.0663;0.0663;32.108;0.2635;2.1287;0.0175;0;;;
1483;07-DAPI-1-40x-402ms.tif;NBL;0.0868;0.0868;15.4712;0.2638;1.343;0.0229;0;;;
889;04-DAPI-1-40x-402ms.tif;NBL;0.0585;0.0585;30.3748;0.2764;1.7765;0.0162;0;;;
1927;09-DAPI-1-40x-402ms.tif;NBL;0.1016;0.1016;67.4049;0.2767;6.8458;0.0281;0;;;
1484;07-DAPI-1-40x-402ms.tif;NBL;0.0718;0.0718;13.1722;0.29;0.9462;0.0208;0;;;
2325;16-DAPI-1-40x-402ms.tif;NBL;0.0452;0.0452;36.3022;0.295;1.6426;0.0133;0;;;
1183;05-DAPI-1-40x-402ms.tif;NBL;0.0277;0.0277;21.9843;0.3059;0.6083;0.0085;0;;;
654;03-DAPI-1-40x-402ms.tif;NBL;0.0825;0.0825;26.6197;0.3118;2.1952;0.0257;0;;;
655;03-DAPI-1-40x-402ms.tif;NBL;0.0398;0.0398;42.1853;0.3134;1.6799;0.0125;0;;;
1851;09-DAPI-1-40x-402ms.tif;NBL;0.0344;0.0344;73.1167;0.3186;2.515;0.011;0;;;
409;02-DAPI-1-40x-402ms.tif;NBL;0.0929;0.0929;26.1974;0.3224;2.4333;0.0299;0;;;
1834;09-DAPI-1-40x-402ms.tif;NBL;0.0346;0.0346;53.7868;0.326;1.8618;0.0113;0;;;
2079;14-DAPI-1-40x-402ms.tif;NBL;0.0792;0.0792;56.6342;0.326;4.486;0.0258;0;;;
1850;09-DAPI-1-40x-402ms.tif;NBL;0.0282;0.0282;70.3385;0.3269;1.9844;0.0092;0;;;
1211;06-DAPI-1-40x-402ms.tif;NBL;0.0871;0.0871;11.1457;0.3275;0.9711;0.0285;0;;;
888;04-DAPI-1-40x-402ms.tif;NBL;0.1076;0.1076;38.9556;0.3296;4.1931;0.0355;0;;;
651;03-DAPI-1-40x-402ms.tif;NBL;0.0393;0.0393;36.2182;0.3315;1.4226;0.013;0;;;
1486;07-DAPI-1-40x-402ms.tif;NBL;0.045;0.045;17.6506;0.3325;0.7948;0.015;0;;;
1920;09-DAPI-1-40x-402ms.tif;NBL;0.038;0.038;54.3371;0.3343;2.0636;0.0127;0;;;
1853;09-DAPI-1-40x-402ms.tif;NBL;0.032;0.032;59.7864;0.3356;1.9137;0.0107;0;;;
1955;14-DAPI-1-40x-402ms.tif;NBL;0.0421;0.0421;59.0644;0.3376;2.4867;0.0142;0;;;
1848;09-DAPI-1-40x-402ms.tif;NBL;0.0436;0.0436;66.1244;0.3383;2.8843;0.0148;0;;;
1203;05-DAPI-1-40x-402ms.tif;NBL;0.0509;0.0509;26.9424;0.339;1.3711;0.0173;0;;;
2327;16-DAPI-1-40x-402ms.tif;NBL;0.115;0.115;60.7028;0.3528;6.9819;0.0406;0;;;
664;03-DAPI-1-40x-402ms.tif;NBL;0.0407;0.0407;41.7733;0.3547;1.6998;0.0144;0;;;
2119;15-DAPI-1-40x-402ms.tif;NBL;0.0446;0.0446;57.7445;0.3552;2.5752;0.0158;0;;;
891;04-DAPI-1-40x-402ms.tif;NBL;0.0725;0.0725;29.2575;0.3578;2.1207;0.0259;0;;;
970;04-DAPI-1-40x-402ms.tif;NBL;0.0346;0.0346;37.1317;0.3668;1.2853;0.0127;0;;;
2103;15-DAPI-1-40x-402ms.tif;NBL;0.0826;0.0826;62.8975;0.3693;5.1937;0.0305;0;;;
653;03-DAPI-1-40x-402ms.tif;NBL;0.0419;0.0419;33.4067;0.3705;1.3992;0.0155;0;;;
904;04-DAPI-1-40x-402ms.tif;NBL;0.0341;0.0341;25.828;0.3726;0.88;0.0127;0;;;
2441;16-DAPI-1-40x-402ms.tif;NBL;0.0664;0.0664;49.8284;0.3742;3.3089;0.0248;0;;;
1940;09-DAPI-1-40x-402ms.tif;NBL;0.0203;0.0203;50.7647;0.3743;1.0301;0.0076;0;;;
1854;09-DAPI-1-40x-402ms.tif;NBL;0.0521;0.0521;71.0438;0.3771;3.7002;0.0196;0;;;
1839;09-DAPI-1-40x-402ms.tif;NBL;0.0369;0.0369;53.0706;0.3794;1.9579;0.014;0;;;
680;03-DAPI-1-40x-402ms.tif;NBL;0.0661;0.0661;23.2627;0.381;1.5372;0.0252;0;;;
1949;14-DAPI-1-40x-402ms.tif;NBL;0.0709;0.0709;73.2067;0.3844;5.1871;0.0272;0;;;
2070;14-DAPI-1-40x-402ms.tif;NBL;0.0224;0.0224;57.9029;0.3883;1.2943;0.0087;0;;;
969;04-DAPI-1-40x-402ms.tif;NBL;0.0152;0.0152;47.15;0.3929;0.7163;0.006;0;;;
721;03-DAPI-1-40x-402ms.tif;NBL;0.0137;0.0137;45.6746;0.3968;0.6245;0.0054;0;;;
717;03-DAPI-1-40x-402ms.tif;NBL;0.0741;0.0741;20.224;0.4026;1.4988;0.0298;0;;;
1962;14-DAPI-1-40x-402ms.tif;NBL;0.0623;0.0623;61.3815;0.4059;3.823;0.0253;0;;;
1855;09-DAPI-1-40x-402ms.tif;NBL;0.0496;0.0496;59.2845;0.407;2.9398;0.0202;0;;;
1485;07-DAPI-1-40x-402ms.tif;NBL;0.0775;0.0775;16.3852;0.4104;1.2694;0.0318;0;;;
1922;09-DAPI-1-40x-402ms.tif;NBL;0.0383;0.0383;51.5269;0.4108;1.9736;0.0157;0;;;
1435;07-DAPI-1-40x-402ms.tif;NBL;0.0412;0.0412;21.4947;0.4132;0.8863;0.017;0;;;
1207;06-DAPI-1-40x-402ms.tif;NBL;0.0565;0.0565;13.618;0.4146;0.7699;0.0234;0;;;
1206;06-DAPI-1-40x-402ms.tif;NBL;0.091;0.091;14.2241;0.4207;1.2949;0.0383;0;;;
682;03-DAPI-1-40x-402ms.tif;NBL;0.0259;0.0259;30.9623;0.4226;0.803;0.011;0;;;
1846;09-DAPI-1-40x-402ms.tif;NBL;0.0275;0.0275;82.2292;0.4229;2.2574;0.0116;0;;;
2117;15-DAPI-1-40x-402ms.tif;NBL;0.0416;0.0416;37.2768;0.423;1.5492;0.0176;0;;;
656;03-DAPI-1-40x-402ms.tif;NBL;0.0345;0.0345;42.2107;0.4245;1.4565;0.0146;0;;;
2060;14-DAPI-1-40x-402ms.tif;NBL;0.0266;0.0266;67.6367;0.4245;1.7981;0.0113;0;;;
1520;07-DAPI-1-40x-402ms.tif;NBL;0.0413;0.0413;18.2651;0.4252;0.7551;0.0176;0;;;
848;04-DAPI-1-40x-402ms.tif;NBL;0.0382;0.0382;31.1506;0.4261;1.1898;0.0163;0;;;
1700;08-DAPI-1-40x-402ms.tif;NBL;0.0148;0.0148;31.3897;0.4265;0.4632;0.0063;0;;;
2080;14-DAPI-1-40x-402ms.tif;NBL;0.039;0.039;59.8886;0.4318;2.3329;0.0168;0;;;
2069;14-DAPI-1-40x-402ms.tif;NBL;0.0348;0.0348;57.9875;0.4361;2.0197;0.0152;0;;;
1432;07-DAPI-1-40x-402ms.tif;NBL;0.0383;0.0383;20.4958;0.4363;0.785;0.0167;0;;;
887;04-DAPI-1-40x-402ms.tif;NBL;0.0661;0.0661;33.156;0.4401;2.191;0.0291;0;;;
1637;08-DAPI-1-40x-402ms.tif;NBL;0.0435;0.0435;24.1446;0.4414;1.0506;0.0192;0;;;
847;04-DAPI-1-40x-402ms.tif;NBL;0.0439;0.0439;37.3605;0.442;1.6418;0.0194;0;;;
1487;07-DAPI-1-40x-402ms.tif;NBL;0.0581;0.0581;13.8636;0.443;0.8048;0.0257;0;;;
1951;14-DAPI-1-40x-402ms.tif;NBL;0.0451;0.0451;64.1731;0.4447;2.8967;0.0201;0;;;
1952;14-DAPI-1-40x-402ms.tif;NBL;0.0284;0.0284;67.5725;0.4466;1.921;0.0127;0;;;
1212;06-DAPI-1-40x-402ms.tif;NBL;0.0621;0.0621;15.4563;0.4476;0.9593;0.0278;0;;;
1838;09-DAPI-1-40x-402ms.tif;NBL;0.0295;0.0295;52.6728;0.4485;1.5546;0.0132;0;;;
2299;16-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;67.4685;0.4547;3.719;0.0251;0;;;
649;03-DAPI-1-40x-402ms.tif;NBL;0.0548;0.0548;36.0495;0.4554;1.9754;0.025;0;;;
1131;05-DAPI-1-40x-402ms.tif;NBL;0.0421;0.0421;34.232;0.4613;1.4412;0.0194;0;;;
679;03-DAPI-1-40x-402ms.tif;NBL;0.0591;0.0591;32.833;0.4679;1.9416;0.0277;0;;;
2326;16-DAPI-1-40x-402ms.tif;NBL;0.0679;0.0679;40.9649;0.4712;2.7826;0.032;0;;;
1893;09-DAPI-1-40x-402ms.tif;NBL;0.0211;0.0211;62.2784;0.4742;1.311;0.01;0;;;
2335;16-DAPI-1-40x-402ms.tif;NBL;0.1266;0.1266;71.9092;0.4764;9.1057;0.0603;0;;;
1188;05-DAPI-1-40x-402ms.tif;NBL;0.0197;0.0197;36.2692;0.478;0.7163;0.0094;0;;;
1177;05-DAPI-1-40x-402ms.tif;NBL;0.0752;0.0752;33.6508;0.4834;2.5304;0.0363;0;;;
1482;07-DAPI-1-40x-402ms.tif;NBL;0.0588;0.0588;17.441;0.4871;1.0257;0.0286;0;;;
412;02-DAPI-1-40x-402ms.tif;NBL;0.0455;0.0455;48.7876;0.4916;2.2181;0.0224;0;;;
1835;09-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;56.4927;0.4927;1.6796;0.0146;0;;;
1827;09-DAPI-1-40x-402ms.tif;NBL;0.0248;0.0248;72.131;0.4934;1.7923;0.0123;0;;;
1830;09-DAPI-1-40x-402ms.tif;NBL;0.0859;0.0859;51.1452;0.4937;4.3953;0.0424;0;;;
1464;07-DAPI-1-40x-402ms.tif;NBL;0.112;0.112;14.4738;0.4942;1.6208;0.0553;0;;;
905;04-DAPI-1-40x-402ms.tif;NBL;0.05;0.05;31.6074;0.4946;1.5811;0.0247;0;;;
973;04-DAPI-1-40x-402ms.tif;NBL;0.031;0.031;35.4406;0.4965;1.0998;0.0154;0;;;
1521;07-DAPI-1-40x-402ms.tif;NBL;0.0534;0.0534;21.1159;0.498;1.1273;0.0266;0;;;
411;02-DAPI-1-40x-402ms.tif;NBL;0.0977;0.0977;29.4933;0.5;2.8802;0.0488;0;;;
1210;06-DAPI-1-40x-402ms.tif;NBL;0.04;0.04;14.935;0.5014;0.598;0.0201;0;;;
1852;09-DAPI-1-40x-402ms.tif;NBL;0.0152;0.0152;71.4786;0.5071;1.0858;0.0077;0;;;
652;03-DAPI-1-40x-402ms.tif;NBL;0.0545;0.0545;32.4622;0.51;1.7682;0.0278;0;;;
1895;09-DAPI-1-40x-402ms.tif;NBL;0.0178;0.0178;64.2378;0.5122;1.1431;0.0091;0;;;
1204;06-DAPI-1-40x-402ms.tif;NBL;0.0587;0.0587;23.1608;0.5157;1.3596;0.0303;0;;;
2104;15-DAPI-1-40x-402ms.tif;NBL;0.0599;0.0599;55.7736;0.5217;3.3406;0.0312;0;;;
1841;09-DAPI-1-40x-402ms.tif;NBL;0.0375;0.0375;80.0809;0.5231;3.0065;0.0196;0;;;
2102;14-DAPI-1-40x-402ms.tif;NBL;0.0558;0.0558;47.6148;0.5253;2.6556;0.0293;0;;;
748;03-DAPI-1-40x-402ms.tif;NBL;0.0201;0.0201;27.2703;0.5297;0.5474;0.0106;0;;;
1840;09-DAPI-1-40x-402ms.tif;NBL;0.0612;0.0612;62.5372;0.5319;3.8271;0.0326;0;;;
1837;09-DAPI-1-40x-402ms.tif;NBL;0.0195;0.0195;53.5167;0.5333;1.0452;0.0104;0;;;
1917;09-DAPI-1-40x-402ms.tif;NBL;0.0503;0.0503;53.6444;0.5345;2.7008;0.0269;0;;;
408;02-DAPI-1-40x-402ms.tif;NBL;0.0255;0.0255;48.1106;0.5362;1.2268;0.0137;0;;;
1208;06-DAPI-1-40x-402ms.tif;NBL;0.0615;0.0615;18.2928;0.5414;1.1254;0.0333;0;;;
2318;16-DAPI-1-40x-402ms.tif;NBL;0.0635;0.0635;61.6838;0.5436;3.9155;0.0345;0;;;
893;04-DAPI-1-40x-402ms.tif;NBL;0.0595;0.0595;26.4106;0.5438;1.5704;0.0323;0;;;
605;03-DAPI-1-40x-402ms.tif;NBL;0.0394;0.0394;48.5923;0.5455;1.914;0.0215;0;;;
938;04-DAPI-1-40x-402ms.tif;NBL;0.0543;0.0543;25.23;0.548;1.3688;0.0297;0;;;
710;03-DAPI-1-40x-402ms.tif;NBL;0.0522;0.0522;33.79;0.5489;1.7636;0.0286;0;;;
2332;16-DAPI-1-40x-402ms.tif;NBL;0.0977;0.0977;41.0078;0.5489;4.0047;0.0536;0;;;
2300;16-DAPI-1-40x-402ms.tif;NBL;0.0862;0.0862;62.7179;0.5529;5.4034;0.0476;0;;;
1462;07-DAPI-1-40x-402ms.tif;NBL;0.1316;0.1316;12.6521;0.5532;1.6653;0.0728;0;;;
639;03-DAPI-1-40x-402ms.tif;NBL;0.0426;0.0426;41.9466;0.5547;1.7887;0.0237;0;;;
2333;16-DAPI-1-40x-402ms.tif;NBL;0.0863;0.0863;66.7925;0.556;5.7617;0.048;0;;;
1214;06-DAPI-1-40x-402ms.tif;NBL;0.0641;0.0641;15.5854;0.5601;0.9995;0.0359;0;;;
903;04-DAPI-1-40x-402ms.tif;NBL;0.0337;0.0337;28.5177;0.5627;0.9623;0.019;0;;;
2073;14-DAPI-1-40x-402ms.tif;NBL;0.0258;0.0258;29.6429;0.563;0.7655;0.0145;0;;;
624;03-DAPI-1-40x-402ms.tif;NBL;0.0553;0.0553;31.0059;0.5647;1.7158;0.0312;0;;;
1431;07-DAPI-1-40x-402ms.tif;NBL;0.0601;0.0601;20.6534;0.5686;1.2415;0.0342;0;;;
2301;16-DAPI-1-40x-402ms.tif;NBL;0.0462;0.0462;71.446;0.5751;3.3025;0.0266;0;;;
1640;08-DAPI-1-40x-402ms.tif;NBL;0.0123;0.0123;30.4779;0.5752;0.3737;0.0071;0;;;
2304;16-DAPI-1-40x-402ms.tif;NBL;0.0655;0.0655;84.8079;0.5762;5.5582;0.0378;0;;;
2481;16-DAPI-1-40x-402ms.tif;NBL;0.0864;0.0864;81.3467;0.5766;7.026;0.0498;0;;;
1605;08-DAPI-1-40x-402ms.tif;NBL;0.0205;0.0205;28.0053;0.5767;0.5743;0.0118;0;;;
1915;09-DAPI-1-40x-402ms.tif;NBL;0.068;0.068;60.1116;0.5774;4.0896;0.0393;0;;;
892;04-DAPI-1-40x-402ms.tif;NBL;0.0643;0.0643;29.3035;0.5784;1.8855;0.0372;0;;;
1963;14-DAPI-1-40x-402ms.tif;NBL;0.0294;0.0294;43.2878;0.5793;1.2729;0.017;0;;;
2294;16-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;71.6673;0.5807;3.9504;0.032;0;;;
638;03-DAPI-1-40x-402ms.tif;NBL;0.0335;0.0335;48.1942;0.5825;1.6159;0.0195;0;;;
648;03-DAPI-1-40x-402ms.tif;NBL;0.0422;0.0422;46.4756;0.5835;1.9617;0.0246;0;;;
681;03-DAPI-1-40x-402ms.tif;NBL;0.0394;0.0394;36.1019;0.584;1.422;0.023;0;;;
1699;08-DAPI-1-40x-402ms.tif;NBL;0.0141;0.0141;36.7385;0.5846;0.5182;0.0082;0;;;
2077;14-DAPI-1-40x-402ms.tif;NBL;0.0753;0.0753;59.4035;0.585;4.4733;0.0441;0;;;
1950;14-DAPI-1-40x-402ms.tif;NBL;0.0374;0.0374;91.5159;0.5855;3.4259;0.0219;0;;;
845;04-DAPI-1-40x-402ms.tif;NBL;0.0739;0.0739;30.8267;0.5888;2.2779;0.0435;0;;;
675;03-DAPI-1-40x-402ms.tif;NBL;0.0255;0.0255;36.2128;0.5915;0.9234;0.0151;0;;;
1519;07-DAPI-1-40x-402ms.tif;NBL;0.0425;0.0425;22.7066;0.5918;0.9658;0.0252;0;;;
846;04-DAPI-1-40x-402ms.tif;NBL;0.0578;0.0578;34.0525;0.5947;1.9694;0.0344;0;;;
1960;14-DAPI-1-40x-402ms.tif;NBL;0.0244;0.0244;42.52;0.5956;1.0381;0.0145;0;;;
2011;14-DAPI-1-40x-402ms.tif;NBL;0.0521;0.0521;50.8292;0.5958;2.6474;0.031;0;;;
1638;08-DAPI-1-40x-402ms.tif;NBL;0.0401;0.0401;24.4784;0.5973;0.9827;0.024;0;;;
2118;15-DAPI-1-40x-402ms.tif;NBL;0.0525;0.0525;57.2087;0.5992;3.0044;0.0315;0;;;
1923;09-DAPI-1-40x-402ms.tif;NBL;0.0298;0.0298;63.0473;0.6;1.8813;0.0179;0;;;
1371;06-DAPI-1-40x-402ms.tif;NBL;0.073;0.073;14.688;0.6003;1.0726;0.0438;0;;;
2125;15-DAPI-1-40x-402ms.tif;NBL;0.0356;0.0356;64.061;0.6006;2.2799;0.0214;0;;;
1178;05-DAPI-1-40x-402ms.tif;NBL;0.0408;0.0408;46.3723;0.6011;1.8919;0.0245;0;;;
492;02-DAPI-1-40x-402ms.tif;NBL;0.0275;0.0275;36.3676;0.6047;0.9984;0.0166;0;;;
1842;09-DAPI-1-40x-402ms.tif;NBL;0.015;0.015;94.1159;0.6087;1.4093;0.0091;0;;;
1161;05-DAPI-1-40x-402ms.tif;NBL;0.0384;0.0384;30.2345;0.6102;1.1613;0.0234;0;;;
1525;07-DAPI-1-40x-402ms.tif;NBL;0.0404;0.0404;19.7742;0.6102;0.7982;0.0246;0;;;
407;02-DAPI-1-40x-402ms.tif;NBL;0.026;0.026;42.3375;0.6125;1.1025;0.016;0;;;
1607;08-DAPI-1-40x-402ms.tif;NBL;0.0317;0.0317;20.4521;0.6164;0.648;0.0195;0;;;
394;02-DAPI-1-40x-402ms.tif;NBL;0.0355;0.0355;46.3242;0.6177;1.6437;0.0219;0;;;
625;03-DAPI-1-40x-402ms.tif;NBL;0.0572;0.0572;36.6717;0.6186;2.097;0.0354;0;;;
2120;15-DAPI-1-40x-402ms.tif;NBL;0.0575;0.0575;77.4434;0.6189;4.4537;0.0356;0;;;
2478;16-DAPI-1-40x-402ms.tif;NBL;0.0894;0.0894;75.5813;0.6189;6.7577;0.0553;0;;;
1858;09-DAPI-1-40x-402ms.tif;NBL;0.0643;0.0643;57.8836;0.6206;3.7245;0.0399;0;;;
2126;15-DAPI-1-40x-402ms.tif;NBL;0.0135;0.0135;63.2258;0.621;0.8507;0.0084;0;;;
1215;06-DAPI-1-40x-402ms.tif;NBL;0.0831;0.0831;19.0705;0.6214;1.5851;0.0516;0;;;
2298;16-DAPI-1-40x-402ms.tif;NBL;0.0335;0.0335;77.055;0.6214;2.5836;0.0208;0;;;
1209;06-DAPI-1-40x-402ms.tif;NBL;0.0787;0.0787;17.0662;0.6276;1.3426;0.0494;0;;;
2081;14-DAPI-1-40x-402ms.tif;NBL;0.0668;0.0668;41.4724;0.6282;2.772;0.042;0;;;
2124;15-DAPI-1-40x-402ms.tif;NBL;0.0609;0.0609;78.4688;0.6292;4.7766;0.0383;0;;;
2483;16-DAPI-1-40x-402ms.tif;NBL;0.029;0.029;109.0599;0.6292;3.1596;0.0182;0;;;
2065;14-DAPI-1-40x-402ms.tif;NBL;0.0379;0.0379;57.2178;0.6304;2.1668;0.0239;0;;;
1814;09-DAPI-1-40x-402ms.tif;NBL;0.0353;0.0353;68.8338;0.6308;2.4274;0.0222;0;;;
604;03-DAPI-1-40x-402ms.tif;NBL;0.0503;0.0503;47.653;0.6315;2.3992;0.0318;0;;;
1172;05-DAPI-1-40x-402ms.tif;NBL;0.035;0.035;28.1796;0.6316;0.9876;0.0221;0;;;
1954;14-DAPI-1-40x-402ms.tif;NBL;0.0239;0.0239;51.9227;0.6318;1.2395;0.0151;0;;;
1836;09-DAPI-1-40x-402ms.tif;NBL;0.0357;0.0357;67.6991;0.6322;2.4168;0.0226;0;;;
1889;09-DAPI-1-40x-402ms.tif;NBL;0.0243;0.0243;71.0714;0.6339;1.7274;0.0154;0;;;
1176;05-DAPI-1-40x-402ms.tif;NBL;0.0573;0.0573;32.4034;0.6345;1.8564;0.0363;0;;;
1891;09-DAPI-1-40x-402ms.tif;NBL;0.0309;0.0309;68.2877;0.6351;2.1118;0.0196;0;;;
1894;09-DAPI-1-40x-402ms.tif;NBL;0.0186;0.0186;86.1462;0.6374;1.5984;0.0118;0;;;
1436;07-DAPI-1-40x-402ms.tif;NBL;0.0546;0.0546;20.9821;0.6382;1.1452;0.0348;0;;;
665;03-DAPI-1-40x-402ms.tif;NBL;0.0567;0.0567;38.3117;0.6386;2.1742;0.0362;0;;;
882;04-DAPI-1-40x-402ms.tif;NBL;0.0579;0.0579;32.706;0.6386;1.8951;0.037;0;;;
1956;14-DAPI-1-40x-402ms.tif;NBL;0.0528;0.0528;63.501;0.6386;3.3556;0.0337;0;;;
1175;05-DAPI-1-40x-402ms.tif;NBL;0.0323;0.0323;34.4396;0.6409;1.1136;0.0207;0;;;
1129;05-DAPI-1-40x-402ms.tif;NBL;0.0624;0.0624;34.7409;0.6417;2.1675;0.04;0;;;
1169;05-DAPI-1-40x-402ms.tif;NBL;0.0495;0.0495;27.9408;0.6425;1.3825;0.0318;0;;;
358;02-DAPI-1-40x-402ms.tif;NBL;0.0119;0.0119;37.8182;0.6455;0.4514;0.0077;0;;;
1179;05-DAPI-1-40x-402ms.tif;NBL;0.0624;0.0624;29.7478;0.647;1.856;0.0404;0;;;
646;03-DAPI-1-40x-402ms.tif;NBL;0.048;0.048;30.5113;0.6471;1.4633;0.031;0;;;
