 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
1,01-DAPI-9-40x-402ms.tif,NBL,0.0498,0.0498,14.085,0.9869,0.7015,0.0492
2,01-DAPI-9-40x-402ms.tif,NBL,0.109,0.109,19.0159,1.1502,2.0737,0.1254
3,01-DAPI-9-40x-402ms.tif,NBL,0.0761,0.0761,12.7361,0.796,0.9688,0.0605
4,01-DAPI-9-40x-402ms.tif,NBL,0.054,0.054,16.9317,0.8956,0.9149,0.0484
5,01-DAPI-9-40x-402ms.tif,NBL,0.0916,0.0916,21.0332,1.1908,1.9262,0.109
6,01-DAPI-9-40x-402ms.tif,NBL,0.0326,0.0326,11.2167,0.68,0.3651,0.0221
7,01-DAPI-9-40x-402ms.tif,NBL,0.0492,0.0492,17.4834,0.8764,0.8594,0.0431
8,01-DAPI-9-40x-402ms.tif,NBL,0.0584,0.0584,8.777,0.3439,0.5124,0.0201
9,01-DAPI-9-40x-402ms.tif,NBL,0.0212,0.0212,36.0615,4.4974,0.763,0.0952
10,01-DAPI-9-40x-402ms.tif,NBL,0.0482,0.0482,26.0923,3.205,1.2571,0.1544
11,01-DAPI-9-40x-402ms.tif,NBL,0.0885,0.0885,14.6544,2.3444,1.2975,0.2076
12,01-DAPI-9-40x-402ms.tif,NBL,0.0392,0.0392,17.7341,2.9612,0.6947,0.116
13,01-DAPI-9-40x-402ms.tif,NBL,0.0326,0.0326,19.8733,2.5867,0.6469,0.0842
14,01-DAPI-9-40x-402ms.tif,NBL,0.0438,0.0438,27.0569,3.1535,1.1861,0.1382
15,01-DAPI-9-40x-402ms.tif,NBL,0.0447,0.0447,20.2087,32.9976,0.9034,1.4752
16,01-DAPI-9-40x-402ms.tif,NBL,0.0581,0.0581,15.2393,32.3514,0.8847,1.878
17,01-DAPI-9-40x-402ms.tif,NBL,0.0867,0.0867,12.4418,33.627,1.0787,2.9154
18,01-DAPI-9-40x-402ms.tif,NBL,0.0634,0.0634,19.6678,41.4384,1.2463,2.6259
