 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-760ms.tif;BL;0.0265;0.0265;112.1352;0.6107;2.9689;0.0162
2;01-DAPI-1-40x-760ms.tif;BL;0.0543;0.0543;115.244;0.762;6.2524;0.0413
3;01-DAPI-1-40x-760ms.tif;BL;0.045;0.045;122.2916;0.8361;5.5068;0.0377
4;01-DAPI-1-40x-760ms.tif;BL;0.0463;0.0463;115.4731;0.9508;5.3502;0.0441
5;01-DAPI-1-40x-760ms.tif;BL;0.0239;0.0239;118.7909;1.2045;2.8357;0.0288
6;01-DAPI-1-40x-760ms.tif;BL;0.051;0.051;114.783;1.134;5.8537;0.0578
7;01-DAPI-1-40x-760ms.tif;BL;0.0392;0.0392;121.0997;1.5125;4.7436;0.0592
8;01-DAPI-1-40x-760ms.tif;BL;0.0914;0.0914;118.361;1.3349;10.8138;0.122
9;01-DAPI-1-40x-760ms.tif;BL;0.0602;0.0602;108.6144;1.5495;6.5409;0.0933
10;01-DAPI-1-40x-760ms.tif;BL;0.0421;0.0421;116.7345;1.0387;4.9146;0.0437
11;01-DAPI-1-40x-760ms.tif;BL;0.0229;0.0229;102.6682;1.3507;2.3506;0.0309
12;01-DAPI-1-40x-760ms.tif;BL;0.0566;0.0566;105.3659;1.5594;5.968;0.0883
13;01-DAPI-1-40x-760ms.tif;BL;0.045;0.045;114.253;1.9663;5.1449;0.0885
14;01-DAPI-1-40x-760ms.tif;BL;0.0429;0.0429;101.7924;1.962;4.3628;0.0841
15;01-DAPI-1-40x-760ms.tif;BL;0.0371;0.0371;120.6462;2.1316;4.4771;0.0791
16;01-DAPI-1-40x-760ms.tif;BL;0.0447;0.0447;110.8155;1.9417;4.954;0.0868
17;01-DAPI-1-40x-760ms.tif;BL;0.0465;0.0465;116.979;1.669;5.4453;0.0777
18;01-DAPI-1-40x-760ms.tif;BL;0.0523;0.0523;125.0083;2.917;6.538;0.1526
19;01-DAPI-1-40x-760ms.tif;BL;0.0496;0.0496;108.7221;2.1225;5.3913;0.1053
20;01-DAPI-1-40x-760ms.tif;BL;0.0298;0.0298;125.6327;2.7418;3.7488;0.0818
21;01-DAPI-1-40x-760ms.tif;BL;0.0584;0.0584;108.6636;2.0929;6.3434;0.1222
22;01-DAPI-1-40x-760ms.tif;BL;0.0471;0.0471;130.3986;3.2419;6.1407;0.1527
23;01-DAPI-1-40x-760ms.tif;BL;0.0305;0.0305;109.4093;2.968;3.3359;0.0905
24;01-DAPI-1-40x-760ms.tif;BL;0.0683;0.0683;111.2957;2.3975;7.596;0.1636
25;01-DAPI-1-40x-760ms.tif;BL;0.0496;0.0496;117.3348;2.1969;5.8184;0.1089
26;01-DAPI-1-40x-760ms.tif;BL;0.1086;0.1086;103.6773;2.1778;11.261;0.2365
27;01-DAPI-1-40x-760ms.tif;BL;0.0375;0.0375;111.1185;1.2919;4.1718;0.0485
28;01-DAPI-1-40x-760ms.tif;BL;0.0902;0.0902;112.9398;1.8219;10.1837;0.1643
29;01-DAPI-1-40x-760ms.tif;BL;0.0224;0.0224;115.5825;2.2767;2.5836;0.0509
30;01-DAPI-1-40x-760ms.tif;BL;0.0506;0.0506;125.2468;3.2833;6.333;0.166
31;01-DAPI-1-40x-760ms.tif;BL;0.0362;0.0362;101.9251;2.015;3.6939;0.073
32;01-DAPI-1-40x-760ms.tif;BL;0.0474;0.0474;126.5515;2.4485;6.0008;0.1161
33;01-DAPI-1-40x-760ms.tif;BL;0.0683;0.0683;105.8983;1.7122;7.2276;0.1169
34;01-DAPI-1-40x-760ms.tif;BL;0.037;0.037;126.2229;2.912;4.6704;0.1077
35;01-DAPI-1-40x-760ms.tif;BL;0.0342;0.0342;117.8984;2.8571;4.0297;0.0977
36;01-DAPI-1-40x-760ms.tif;BL;0.0817;0.0817;105.5538;2.8234;8.6243;0.2307
37;01-DAPI-1-40x-760ms.tif;BL;0.0482;0.0482;110.7252;2.4212;5.3344;0.1166
38;01-DAPI-1-40x-760ms.tif;BL;0.0269;0.0269;126.7581;3.0645;3.411;0.0825
39;01-DAPI-1-40x-760ms.tif;BL;0.0263;0.0263;111.8388;2.686;2.9367;0.0705
40;01-DAPI-1-40x-760ms.tif;BL;0.0486;0.0486;105.9799;1.9263;5.1518;0.0936
41;01-DAPI-1-40x-760ms.tif;BL;0.0388;0.0388;116.3017;2.9944;4.5178;0.1163
42;01-DAPI-1-40x-760ms.tif;BL;0.0928;0.0928;115.9871;2.5719;10.7605;0.2386
43;01-DAPI-1-40x-760ms.tif;BL;0.045;0.045;108.8072;2.1542;4.8996;0.097
44;01-DAPI-1-40x-760ms.tif;BL;0.0531;0.0531;122.2045;2.7566;6.4842;0.1463
45;01-DAPI-1-40x-760ms.tif;BL;0.0654;0.0654;99.9055;2.3632;6.5368;0.1546
46;01-DAPI-1-40x-760ms.tif;BL;0.0171;0.0171;117.8544;3.1835;2.0205;0.0546
47;01-DAPI-1-40x-760ms.tif;BL;0.0317;0.0317;111.3219;2.4795;3.5271;0.0786
48;01-DAPI-1-40x-760ms.tif;BL;0.0535;0.0535;100.0771;1.6531;5.3535;0.0884
49;01-DAPI-1-40x-760ms.tif;BL;0.0393;0.0393;123.1298;1.7873;4.8365;0.0702
50;01-DAPI-1-40x-760ms.tif;BL;0.0373;0.0373;112.2587;2.3663;4.1902;0.0883
51;02-DAPI-1-40x-760ms.tif;BL;0.0247;0.0247;106.8596;0.114;2.6437;0.0028
52;02-DAPI-1-40x-760ms.tif;BL;0.0293;0.0293;111.4037;0.5481;3.2638;0.0161
53;02-DAPI-1-40x-760ms.tif;BL;0.0241;0.0241;109.509;0.4189;2.6379;0.0101
54;02-DAPI-1-40x-760ms.tif;BL;0.0271;0.0271;109.496;0.636;2.9703;0.0173
55;02-DAPI-1-40x-760ms.tif;BL;0.0305;0.0305;114.5836;0.726;3.4937;0.0221
56;02-DAPI-1-40x-760ms.tif;BL;0.0323;0.0323;118.8389;1.3221;3.8427;0.0428
57;02-DAPI-1-40x-760ms.tif;BL;0.0257;0.0257;113.4051;0.9494;2.9163;0.0244
58;02-DAPI-1-40x-760ms.tif;BL;0.0664;0.0664;114.3873;1.3709;7.596;0.091
59;02-DAPI-1-40x-760ms.tif;BL;0.0183;0.0183;112.7692;1.1361;2.0679;0.0208
60;02-DAPI-1-40x-760ms.tif;BL;0.0306;0.0306;112.117;1.883;3.4307;0.0576
61;02-DAPI-1-40x-760ms.tif;BL;0.0377;0.0377;118.83;2.4841;4.4742;0.0935
62;02-DAPI-1-40x-760ms.tif;BL;0.0219;0.0219;96.005;1.8416;2.1043;0.0404
63;02-DAPI-1-40x-760ms.tif;BL;0.0675;0.0675;104.1785;1.6238;7.0311;0.1096
