 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-760ms.tif;NBL;0.0611;0.0611;118.8757;0.7229;7.262;0.0442
2;01-DAPI-1-40x-760ms.tif;NBL;0.0428;0.0428;114.7563;0.6066;4.906;0.0259
3;01-DAPI-1-40x-760ms.tif;NBL;0.0387;0.0387;119.2185;0.8796;4.6182;0.0341
4;01-DAPI-1-40x-760ms.tif;NBL;0.0314;0.0314;132.3183;1.4118;4.1493;0.0443
5;01-DAPI-1-40x-760ms.tif;NBL;0.0665;0.0665;119.8418;0.8532;7.9712;0.0567
6;01-DAPI-1-40x-760ms.tif;NBL;0.0501;0.0501;119.6082;1.2922;5.996;0.0648
7;01-DAPI-1-40x-760ms.tif;NBL;0.0315;0.0315;115.3103;1.0655;3.6285;0.0335
8;02-DAPI-1-40x-760ms.tif;NBL;0.0374;0.0374;106.0464;0.3449;3.9698;0.0129
9;02-DAPI-1-40x-760ms.tif;NBL;0.045;0.045;114.6843;0.5687;5.1643;0.0256
10;02-DAPI-1-40x-760ms.tif;NBL;0.027;0.027;109.6586;0.6707;2.9628;0.0181
11;02-DAPI-1-40x-760ms.tif;NBL;0.0307;0.0307;110.6926;0.6502;3.3991;0.02
12;02-DAPI-1-40x-760ms.tif;NBL;0.0393;0.0393;120.1492;1.4282;4.7194;0.0561
13;02-DAPI-1-40x-760ms.tif;NBL;0.054;0.054;114.4056;0.7349;6.1821;0.0397
14;02-DAPI-1-40x-760ms.tif;NBL;0.0374;0.0374;108.7681;0.6435;4.0717;0.0241
15;02-DAPI-1-40x-760ms.tif;NBL;0.0355;0.0355;104.4343;0.6208;3.7055;0.022
16;02-DAPI-1-40x-760ms.tif;NBL;0.0562;0.0562;113.3205;0.9054;6.3694;0.0509
17;02-DAPI-1-40x-760ms.tif;NBL;0.0414;0.0414;103.7592;0.7042;4.3008;0.0292
18;02-DAPI-1-40x-760ms.tif;NBL;0.0444;0.0444;106.6577;0.9046;4.7334;0.0401
